1.215	1020.57613	2.88672E-5	1.07899E-4	2.25805E-4	3.71398E-4	5.33604E-4	7.01485E-4	8.64254E-4	0.00101	0.00113	0.00122	0.00125
1.22	1016.39344	2.95035E-5	1.1033E-4	2.31022E-4	3.80221E-4	5.46688E-4	7.19322E-4	8.87175E-4	0.00104	0.00117	0.00126	0.0013
1.225	1012.2449	3.01522E-5	1.1281E-4	2.36341E-4	3.89218E-4	5.60034E-4	7.37519E-4	9.1056E-4	0.00107	0.0012	0.00129	0.00134
1.23	1008.13008	3.08136E-5	1.15338E-4	2.41765E-4	3.98395E-4	5.73646E-4	7.56081E-4	9.3442E-4	0.0011	0.00123	0.00133	0.00139
1.235	1004.04858	3.14878E-5	1.17915E-4	2.47297E-4	4.07753E-4	5.8753E-4	7.75016E-4	9.58763E-4	0.00113	0.00127	0.00138	0.00143
1.24	1000	3.21753E-5	1.20543E-4	2.52937E-4	4.17296E-4	6.0169E-4	7.94332E-4	9.83599E-4	0.00116	0.00131	0.00142	0.00148
1.245	995.98394	3.28762E-5	1.23223E-4	2.58688E-4	4.27029E-4	6.16133E-4	8.14035E-4	0.00101	0.00119	0.00134	0.00146	0.00153
1.25	992	3.35907E-5	1.25955E-4	2.64553E-4	4.36955E-4	6.30864E-4	8.34133E-4	0.00103	0.00122	0.00138	0.0015	0.00158
1.255	988.04781	3.43193E-5	1.28741E-4	2.70533E-4	4.47078E-4	6.45888E-4	8.54634E-4	0.00106	0.00125	0.00142	0.00155	0.00163
1.26	984.12698	3.50622E-5	1.31582E-4	2.76632E-4	4.57401E-4	6.61212E-4	8.75545E-4	0.00109	0.00129	0.00146	0.00159	0.00168
1.265	980.23715	3.58196E-5	1.34479E-4	2.82851E-4	4.67929E-4	6.76841E-4	8.96876E-4	0.00112	0.00132	0.0015	0.00164	0.00173
1.27	976.37795	3.6592E-5	1.37432E-4	2.89194E-4	4.78667E-4	6.92782E-4	9.18634E-4	0.00114	0.00135	0.00154	0.00169	0.00179
1.275	972.54902	3.73795E-5	1.40445E-4	2.95662E-4	4.89618E-4	7.09042E-4	9.40828E-4	0.00117	0.00139	0.00158	0.00174	0.00184
1.28	968.75	3.81826E-5	1.43516E-4	3.02258E-4	5.00786E-4	7.25625E-4	9.63466E-4	0.0012	0.00143	0.00162	0.00179	0.0019
1.285	964.98054	3.90015E-5	1.46649E-4	3.08985E-4	5.12177E-4	7.4254E-4	9.86558E-4	0.00123	0.00146	0.00167	0.00184	0.00195
1.29	961.24031	3.98366E-5	1.49843E-4	3.15846E-4	5.23795E-4	7.59792E-4	0.00101	0.00126	0.0015	0.00171	0.00189	0.00201
1.295	957.52896	4.06883E-5	1.53101E-4	3.22843E-4	5.35644E-4	7.7739E-4	0.00103	0.00129	0.00154	0.00176	0.00194	0.00207
1.3	953.84615	4.15569E-5	1.56424E-4	3.29979E-4	5.4773E-4	7.95339E-4	0.00106	0.00132	0.00158	0.0018	0.00199	0.00213
1.305	950.19157	4.24428E-5	1.59813E-4	3.37259E-4	5.60058E-4	8.13649E-4	0.00108	0.00136	0.00162	0.00185	0.00205	0.00219
1.31	946.56489	4.33463E-5	1.6327E-4	3.44683E-4	5.72632E-4	8.32325E-4	0.00111	0.00139	0.00166	0.0019	0.0021	0.00226
1.315	942.96578	4.42679E-5	1.66796E-4	3.52256E-4	5.85459E-4	8.51376E-4	0.00114	0.00142	0.0017	0.00195	0.00216	0.00232
